O*NET-SOC 2006 Code,O*NET-SOC 2006 Title,O*NET-SOC 2009 Code,O*NET-SOC 2009 Title
11-1011.00,Chief Executives,11-1011.00,Chief Executives
11-1021.00,General and Operations Managers,11-1021.00,General and Operations Managers
11-1031.00,Legislators,11-1031.00,Legislators
11-2011.00,Advertising and Promotions Managers,11-2011.00,Advertising and Promotions Managers
11-2021.00,Marketing Managers,11-2021.00,Marketing Managers
11-2022.00,Sales Managers,11-2022.00,Sales Managers
11-2031.00,Public Relations Managers,11-2031.00,Public Relations Managers
11-3011.00,Administrative Services Managers,11-3011.00,Administrative Services Managers
11-3021.00,Computer and Information Systems Managers,11-3021.00,Computer and Information Systems Managers
11-3031.00,Financial Managers,11-3031.00,Financial Managers
11-3031.01,Treasurers and Controllers,11-3031.01,Treasurers and Controllers
11-3031.02,"Financial Managers, Branch or Department",11-3031.02,"Financial Managers, Branch or Department"
11-3040.00,Human Resources Managers,11-3040.00,Human Resources Managers
11-3041.00,Compensation and Benefits Managers,11-3041.00,Compensation and Benefits Managers
11-3042.00,Training and Development Managers,11-3042.00,Training and Development Managers
11-3049.99,"Human Resources Managers, All Other",11-3049.00,"Human Resources Managers, All Other"
11-3051.00,Industrial Production Managers,11-3051.00,Industrial Production Managers
11-3061.00,Purchasing Managers,11-3061.00,Purchasing Managers
11-3071.00,"Transportation, Storage, and Distribution Managers",11-3071.00,"Transportation, Storage, and Distribution Managers"
11-3071.01,Transportation Managers,11-3071.01,Transportation Managers
11-3071.02,Storage and Distribution Managers,11-3071.02,Storage and Distribution Managers
11-9011.00,"Farm, Ranch, and Other Agricultural Managers",11-9011.00,"Farm, Ranch, and Other Agricultural Managers"
11-9011.01,Nursery and Greenhouse Managers,11-9011.01,Nursery and Greenhouse Managers
11-9011.02,Crop and Livestock Managers,11-9011.02,Crop and Livestock Managers
11-9011.03,Aquacultural Managers,11-9011.03,Aquacultural Managers
11-9012.00,Farmers and Ranchers,11-9012.00,Farmers and Ranchers
11-9021.00,Construction Managers,11-9021.00,Construction Managers
11-9031.00,"Education Administrators, Preschool and Child Care Center/Program",11-9031.00,"Education Administrators, Preschool and Child Care Center/Program"
11-9032.00,"Education Administrators, Elementary and Secondary School",11-9032.00,"Education Administrators, Elementary and Secondary School"
11-9033.00,"Education Administrators, Postsecondary",11-9033.00,"Education Administrators, Postsecondary"
11-9039.99,"Education Administrators, All Other",11-9039.00,"Education Administrators, All Other"
11-9041.00,Engineering Managers,11-9041.00,Engineering Managers
11-9051.00,Food Service Managers,11-9051.00,Food Service Managers
11-9061.00,Funeral Directors,11-9061.00,Funeral Directors
11-9071.00,Gaming Managers,11-9071.00,Gaming Managers
11-9081.00,Lodging Managers,11-9081.00,Lodging Managers
11-9111.00,Medical and Health Services Managers,11-9111.00,Medical and Health Services Managers
11-9121.00,Natural Sciences Managers,11-9121.00,Natural Sciences Managers
11-9131.00,Postmasters and Mail Superintendents,11-9131.00,Postmasters and Mail Superintendents
11-9141.00,"Property, Real Estate, and Community Association Managers",11-9141.00,"Property, Real Estate, and Community Association Managers"
11-9151.00,Social and Community Service Managers,11-9151.00,Social and Community Service Managers
11-9199.99,"Managers, All Other",11-9199.00,"Managers, All Other"
13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes"
13-1021.00,"Purchasing Agents and Buyers, Farm Products",13-1021.00,"Purchasing Agents and Buyers, Farm Products"
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",13-1022.00,"Wholesale and Retail Buyers, Except Farm Products"
13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products"
13-1031.00,"Claims Adjusters, Examiners, and Investigators",13-1031.00,"Claims Adjusters, Examiners, and Investigators"
13-1031.01,"Claims Examiners, Property and Casualty Insurance",13-1031.01,"Claims Examiners, Property and Casualty Insurance"
13-1031.02,"Insurance Adjusters, Examiners, and Investigators",13-1031.02,"Insurance Adjusters, Examiners, and Investigators"
13-1032.00,"Insurance Appraisers, Auto Damage",13-1032.00,"Insurance Appraisers, Auto Damage"
13-1041.00,"Compliance Officers, Except Agriculture, Construction, Health and Safety, and Transportation",13-1041.00,"Compliance Officers, Except Agriculture, Construction, Health and Safety, and Transportation"
13-1041.01,Environmental Compliance Inspectors,13-1041.01,Environmental Compliance Inspectors
13-1041.02,Licensing Examiners and Inspectors,13-1041.02,Licensing Examiners and Inspectors
13-1041.03,Equal Opportunity Representatives and Officers,13-1041.03,Equal Opportunity Representatives and Officers
13-1041.04,Government Property Inspectors and Investigators,13-1041.04,Government Property Inspectors and Investigators
13-1041.06,Coroners,13-1041.06,Coroners
13-1051.00,Cost Estimators,13-1051.00,Cost Estimators
13-1061.00,Emergency Management Specialists,13-1061.00,Emergency Management Specialists
13-1071.00,"Employment, Recruitment, and Placement Specialists",13-1071.00,"Employment, Recruitment, and Placement Specialists"
13-1071.01,Employment Interviewers,13-1071.01,Employment Interviewers
13-1071.02,Personnel Recruiters,13-1071.02,Personnel Recruiters
13-1072.00,"Compensation, Benefits, and Job Analysis Specialists",13-1072.00,"Compensation, Benefits, and Job Analysis Specialists"
13-1073.00,Training and Development Specialists,13-1073.00,Training and Development Specialists
13-1079.99,"Human Resources, Training, and Labor Relations Specialists, All Other",13-1079.00,"Human Resources, Training, and Labor Relations Specialists, All Other"
13-1081.00,Logisticians,13-1081.00,Logisticians
13-1111.00,Management Analysts,13-1111.00,Management Analysts
13-1121.00,Meeting and Convention Planners,13-1121.00,Meeting and Convention Planners
13-1199.99,"Business Operations Specialists, All Other",13-1199.00,"Business Operations Specialists, All Other"
13-2011.00,Accountants and Auditors,13-2011.00,Accountants and Auditors
13-2011.01,Accountants,13-2011.01,Accountants
13-2011.02,Auditors,13-2011.02,Auditors
13-2021.00,Appraisers and Assessors of Real Estate,13-2021.00,Appraisers and Assessors of Real Estate
13-2021.01,Assessors,13-2021.01,Assessors
13-2021.02,"Appraisers, Real Estate",13-2021.02,"Appraisers, Real Estate"
13-2031.00,Budget Analysts,13-2031.00,Budget Analysts
13-2041.00,Credit Analysts,13-2041.00,Credit Analysts
13-2051.00,Financial Analysts,13-2051.00,Financial Analysts
13-2052.00,Personal Financial Advisors,13-2052.00,Personal Financial Advisors
13-2053.00,Insurance Underwriters,13-2053.00,Insurance Underwriters
13-2061.00,Financial Examiners,13-2061.00,Financial Examiners
13-2071.00,Loan Counselors,13-2071.00,Loan Counselors
13-2072.00,Loan Officers,13-2072.00,Loan Officers
13-2081.00,"Tax Examiners, Collectors, and Revenue Agents",13-2081.00,"Tax Examiners, Collectors, and Revenue Agents"
13-2082.00,Tax Preparers,13-2082.00,Tax Preparers
13-2099.99,"Financial Specialists, All Other",13-2099.00,"Financial Specialists, All Other"
15-1011.00,"Computer and Information Scientists, Research",15-1011.00,"Computer and Information Scientists, Research"
15-1021.00,Computer Programmers,15-1021.00,Computer Programmers
15-1031.00,"Computer Software Engineers, Applications",15-1031.00,"Computer Software Engineers, Applications"
15-1032.00,"Computer Software Engineers, Systems Software",15-1032.00,"Computer Software Engineers, Systems Software"
15-1041.00,Computer Support Specialists,15-1041.00,Computer Support Specialists
15-1051.00,Computer Systems Analysts,15-1051.00,Computer Systems Analysts
15-1061.00,Database Administrators,15-1061.00,Database Administrators
15-1071.00,Network and Computer Systems Administrators,15-1071.00,Network and Computer Systems Administrators
15-1071.01,Computer Security Specialists,15-1071.01,Computer Security Specialists
15-1081.00,Network Systems and Data Communications Analysts,15-1081.00,Network Systems and Data Communications Analysts
15-1099.01,Software Quality Assurance Engineers and Testers,15-1099.01,Software Quality Assurance Engineers and Testers
15-1099.02,Computer Systems Engineers/Architects,15-1099.02,Computer Systems Engineers/Architects
15-1099.03,Network Designers,15-1099.03,Network Designers
15-1099.04,Web Developers,15-1099.04,Web Developers
15-1099.05,Web Administrators,15-1099.05,Web Administrators
15-1099.99,"Computer Specialists, All Other",15-1099.00,"Computer Specialists, All Other"
15-2011.00,Actuaries,15-2011.00,Actuaries
15-2021.00,Mathematicians,15-2021.00,Mathematicians
15-2031.00,Operations Research Analysts,15-2031.00,Operations Research Analysts
15-2041.00,Statisticians,15-2041.00,Statisticians
15-2091.00,Mathematical Technicians,15-2091.00,Mathematical Technicians
15-2099.99,"Mathematical Science Occupations, All Other",15-2099.00,"Mathematical Science Occupations, All Other"
17-1011.00,"Architects, Except Landscape and Naval",17-1011.00,"Architects, Except Landscape and Naval"
17-1012.00,Landscape Architects,17-1012.00,Landscape Architects
17-1021.00,Cartographers and Photogrammetrists,17-1021.00,Cartographers and Photogrammetrists
17-1022.00,Surveyors,17-1022.00,Surveyors
17-2011.00,Aerospace Engineers,17-2011.00,Aerospace Engineers
17-2021.00,Agricultural Engineers,17-2021.00,Agricultural Engineers
17-2031.00,Biomedical Engineers,17-2031.00,Biomedical Engineers
17-2041.00,Chemical Engineers,17-2041.00,Chemical Engineers
17-2051.00,Civil Engineers,17-2051.00,Civil Engineers
17-2061.00,Computer Hardware Engineers,17-2061.00,Computer Hardware Engineers
17-2071.00,Electrical Engineers,17-2071.00,Electrical Engineers
17-2072.00,"Electronics Engineers, Except Computer",17-2072.00,"Electronics Engineers, Except Computer"
17-2081.00,Environmental Engineers,17-2081.00,Environmental Engineers
17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors"
17-2111.01,Industrial Safety and Health Engineers,17-2111.01,Industrial Safety and Health Engineers
17-2111.02,Fire-Prevention and Protection Engineers,17-2111.02,Fire-Prevention and Protection Engineers
17-2111.03,Product Safety Engineers,17-2111.03,Product Safety Engineers
17-2112.00,Industrial Engineers,17-2112.00,Industrial Engineers
17-2121.00,Marine Engineers and Naval Architects,17-2121.00,Marine Engineers and Naval Architects
17-2121.01,Marine Engineers,17-2121.01,Marine Engineers
17-2121.02,Marine Architects,17-2121.02,Marine Architects
17-2131.00,Materials Engineers,17-2131.00,Materials Engineers
17-2141.00,Mechanical Engineers,17-2141.00,Mechanical Engineers
17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers",17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers"
17-2161.00,Nuclear Engineers,17-2161.00,Nuclear Engineers
17-2171.00,Petroleum Engineers,17-2171.00,Petroleum Engineers
17-2199.99,"Engineers, All Other",17-2199.00,"Engineers, All Other"
17-3011.00,Architectural and Civil Drafters,17-3011.00,Architectural and Civil Drafters
17-3011.01,Architectural Drafters,17-3011.01,Architectural Drafters
17-3011.02,Civil Drafters,17-3011.02,Civil Drafters
17-3012.00,Electrical and Electronics Drafters,17-3012.00,Electrical and Electronics Drafters
17-3012.01,Electronic Drafters,17-3012.01,Electronic Drafters
17-3012.02,Electrical Drafters,17-3012.02,Electrical Drafters
17-3013.00,Mechanical Drafters,17-3013.00,Mechanical Drafters
17-3019.99,"Drafters, All Other",17-3019.00,"Drafters, All Other"
17-3021.00,Aerospace Engineering and Operations Technicians,17-3021.00,Aerospace Engineering and Operations Technicians
17-3022.00,Civil Engineering Technicians,17-3022.00,Civil Engineering Technicians
17-3023.00,Electrical and Electronic Engineering Technicians,17-3023.00,Electrical and Electronic Engineering Technicians
17-3023.01,Electronics Engineering Technicians,17-3023.01,Electronics Engineering Technicians
17-3023.03,Electrical Engineering Technicians,17-3023.03,Electrical Engineering Technicians
17-3024.00,Electro-Mechanical Technicians,17-3024.00,Electro-Mechanical Technicians
17-3025.00,Environmental Engineering Technicians,17-3025.00,Environmental Engineering Technicians
17-3026.00,Industrial Engineering Technicians,17-3026.00,Industrial Engineering Technicians
17-3027.00,Mechanical Engineering Technicians,17-3027.00,Mechanical Engineering Technicians
17-3029.99,"Engineering Technicians, Except Drafters, All Other",17-3029.00,"Engineering Technicians, Except Drafters, All Other"
17-3031.00,Surveying and Mapping Technicians,17-3031.00,Surveying and Mapping Technicians
17-3031.01,Surveying Technicians,17-3031.01,Surveying Technicians
17-3031.02,Mapping Technicians,17-3031.02,Mapping Technicians
19-1011.00,Animal Scientists,19-1011.00,Animal Scientists
19-1012.00,Food Scientists and Technologists,19-1012.00,Food Scientists and Technologists
19-1013.00,Soil and Plant Scientists,19-1013.00,Soil and Plant Scientists
19-1020.01,Biologists,19-1020.01,Biologists
19-1021.00,Biochemists and Biophysicists,19-1021.00,Biochemists and Biophysicists
19-1022.00,Microbiologists,19-1022.00,Microbiologists
19-1023.00,Zoologists and Wildlife Biologists,19-1023.00,Zoologists and Wildlife Biologists
19-1029.99,"Biological Scientists, All Other",19-1029.00,"Biological Scientists, All Other"
19-1031.00,Conservation Scientists,19-1031.00,Conservation Scientists
19-1031.01,Soil and Water Conservationists,19-1031.01,Soil and Water Conservationists
19-1031.02,Range Managers,19-1031.02,Range Managers
19-1031.03,Park Naturalists,19-1031.03,Park Naturalists
19-1032.00,Foresters,19-1032.00,Foresters
19-1041.00,Epidemiologists,19-1041.00,Epidemiologists
19-1042.00,"Medical Scientists, Except Epidemiologists",19-1042.00,"Medical Scientists, Except Epidemiologists"
19-1099.99,"Life Scientists, All Other",19-1099.00,"Life Scientists, All Other"
19-2011.00,Astronomers,19-2011.00,Astronomers
19-2012.00,Physicists,19-2012.00,Physicists
19-2021.00,Atmospheric and Space Scientists,19-2021.00,Atmospheric and Space Scientists
19-2031.00,Chemists,19-2031.00,Chemists
19-2032.00,Materials Scientists,19-2032.00,Materials Scientists
19-2041.00,"Environmental Scientists and Specialists, Including Health",19-2041.00,"Environmental Scientists and Specialists, Including Health"
19-2042.00,"Geoscientists, Except Hydrologists and Geographers",19-2042.00,"Geoscientists, Except Hydrologists and Geographers"
19-2043.00,Hydrologists,19-2043.00,Hydrologists
19-2099.99,"Physical Scientists, All Other",19-2099.00,"Physical Scientists, All Other"
19-3011.00,Economists,19-3011.00,Economists
19-3021.00,Market Research Analysts,19-3021.00,Market Research Analysts
19-3022.00,Survey Researchers,19-3022.00,Survey Researchers
19-3031.00,"Clinical, Counseling, and School Psychologists",19-3031.00,"Clinical, Counseling, and School Psychologists"
19-3031.01,School Psychologists,19-3031.01,School Psychologists
19-3031.02,Clinical Psychologists,19-3031.02,Clinical Psychologists
19-3031.03,Counseling Psychologists,19-3031.03,Counseling Psychologists
19-3032.00,Industrial-Organizational Psychologists,19-3032.00,Industrial-Organizational Psychologists
19-3039.99,"Psychologists, All Other",19-3039.00,"Psychologists, All Other"
19-3041.00,Sociologists,19-3041.00,Sociologists
19-3051.00,Urban and Regional Planners,19-3051.00,Urban and Regional Planners
19-3091.00,Anthropologists and Archeologists,19-3091.00,Anthropologists and Archeologists
19-3091.01,Anthropologists,19-3091.01,Anthropologists
19-3091.02,Archeologists,19-3091.02,Archeologists
19-3092.00,Geographers,19-3092.00,Geographers
19-3093.00,Historians,19-3093.00,Historians
19-3094.00,Political Scientists,19-3094.00,Political Scientists
19-3099.99,"Social Scientists and Related Workers, All Other",19-3099.00,"Social Scientists and Related Workers, All Other"
19-4011.00,Agricultural and Food Science Technicians,19-4011.00,Agricultural and Food Science Technicians
19-4011.01,Agricultural Technicians,19-4011.01,Agricultural Technicians
19-4011.02,Food Science Technicians,19-4011.02,Food Science Technicians
19-4021.00,Biological Technicians,19-4021.00,Biological Technicians
19-4031.00,Chemical Technicians,19-4031.00,Chemical Technicians
19-4041.00,Geological and Petroleum Technicians,19-4041.00,Geological and Petroleum Technicians
19-4041.01,Geophysical Data Technicians,19-4041.01,Geophysical Data Technicians
19-4041.02,Geological Sample Test Technicians,19-4041.02,Geological Sample Test Technicians
19-4051.00,Nuclear Technicians,19-4051.00,Nuclear Technicians
19-4051.01,Nuclear Equipment Operation Technicians,19-4051.01,Nuclear Equipment Operation Technicians
19-4051.02,Nuclear Monitoring Technicians,19-4051.02,Nuclear Monitoring Technicians
19-4061.00,Social Science Research Assistants,19-4061.00,Social Science Research Assistants
19-4061.01,City and Regional Planning Aides,19-4061.01,City and Regional Planning Aides
19-4091.00,"Environmental Science and Protection Technicians, Including Health",19-4091.00,"Environmental Science and Protection Technicians, Including Health"
19-4092.00,Forensic Science Technicians,19-4092.00,Forensic Science Technicians
19-4093.00,Forest and Conservation Technicians,19-4093.00,Forest and Conservation Technicians
19-4099.99,"Life, Physical, and Social Science Technicians, All Other",19-4099.00,"Life, Physical, and Social Science Technicians, All Other"
21-1011.00,Substance Abuse and Behavioral Disorder Counselors,21-1011.00,Substance Abuse and Behavioral Disorder Counselors
21-1012.00,"Educational, Vocational, and School Counselors",21-1012.00,"Educational, Vocational, and School Counselors"
21-1013.00,Marriage and Family Therapists,21-1013.00,Marriage and Family Therapists
21-1014.00,Mental Health Counselors,21-1014.00,Mental Health Counselors
21-1015.00,Rehabilitation Counselors,21-1015.00,Rehabilitation Counselors
21-1019.99,"Counselors, All Other",21-1019.00,"Counselors, All Other"
21-1021.00,"Child, Family, and School Social Workers",21-1021.00,"Child, Family, and School Social Workers"
21-1022.00,Medical and Public Health Social Workers,21-1022.00,Medical and Public Health Social Workers
21-1023.00,Mental Health and Substance Abuse Social Workers,21-1023.00,Mental Health and Substance Abuse Social Workers
21-1029.99,"Social Workers, All Other",21-1029.00,"Social Workers, All Other"
21-1091.00,Health Educators,21-1091.00,Health Educators
21-1092.00,Probation Officers and Correctional Treatment Specialists,21-1092.00,Probation Officers and Correctional Treatment Specialists
21-1093.00,Social and Human Service Assistants,21-1093.00,Social and Human Service Assistants
21-1099.99,"Community and Social Service Specialists, All Other",21-1099.00,"Community and Social Service Specialists, All Other"
21-2011.00,Clergy,21-2011.00,Clergy
21-2021.00,"Directors, Religious Activities and Education",21-2021.00,"Directors, Religious Activities and Education"
21-2099.99,"Religious Workers, All Other",21-2099.00,"Religious Workers, All Other"
23-1011.00,Lawyers,23-1011.00,Lawyers
23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers"
23-1022.00,"Arbitrators, Mediators, and Conciliators",23-1022.00,"Arbitrators, Mediators, and Conciliators"
23-1023.00,"Judges, Magistrate Judges, and Magistrates",23-1023.00,"Judges, Magistrate Judges, and Magistrates"
23-2011.00,Paralegals and Legal Assistants,23-2011.00,Paralegals and Legal Assistants
23-2091.00,Court Reporters,23-2091.00,Court Reporters
23-2092.00,Law Clerks,23-2092.00,Law Clerks
23-2093.00,"Title Examiners, Abstractors, and Searchers",23-2093.00,"Title Examiners, Abstractors, and Searchers"
23-2099.99,"Legal Support Workers, All Other",23-2099.00,"Legal Support Workers, All Other"
25-1011.00,"Business Teachers, Postsecondary",25-1011.00,"Business Teachers, Postsecondary"
25-1021.00,"Computer Science Teachers, Postsecondary",25-1021.00,"Computer Science Teachers, Postsecondary"
25-1022.00,"Mathematical Science Teachers, Postsecondary",25-1022.00,"Mathematical Science Teachers, Postsecondary"
25-1031.00,"Architecture Teachers, Postsecondary",25-1031.00,"Architecture Teachers, Postsecondary"
25-1032.00,"Engineering Teachers, Postsecondary",25-1032.00,"Engineering Teachers, Postsecondary"
25-1041.00,"Agricultural Sciences Teachers, Postsecondary",25-1041.00,"Agricultural Sciences Teachers, Postsecondary"
25-1042.00,"Biological Science Teachers, Postsecondary",25-1042.00,"Biological Science Teachers, Postsecondary"
25-1043.00,"Forestry and Conservation Science Teachers, Postsecondary",25-1043.00,"Forestry and Conservation Science Teachers, Postsecondary"
25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary"
25-1052.00,"Chemistry Teachers, Postsecondary",25-1052.00,"Chemistry Teachers, Postsecondary"
25-1053.00,"Environmental Science Teachers, Postsecondary",25-1053.00,"Environmental Science Teachers, Postsecondary"
25-1054.00,"Physics Teachers, Postsecondary",25-1054.00,"Physics Teachers, Postsecondary"
25-1061.00,"Anthropology and Archeology Teachers, Postsecondary",25-1061.00,"Anthropology and Archeology Teachers, Postsecondary"
25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
